category,question,answer,keywords
Orders,How do I place an order on LankaMart?,"Browse products on our website or app, add items to your cart, then go to checkout to enter your delivery address and payment details to confirm your order.","purchase buy checkout shopping cart"
Orders,Can I cancel my order after placing it?,"Yes, you can cancel an order within 1 hour of placing it from the 'My Orders' page. After that, please contact customer support as the order may already be processing.",
Orders,How can I track my order?,"Go to 'My Orders' in your account and select the order you want to track. You will see live status updates and an estimated delivery date.","where is my order package parcel shipment status"
Orders,What should I do if I received the wrong item?,"Contact customer support within 48 hours of delivery with your order ID and a photo of the item received. We will arrange a free exchange or refund.","incorrect item mismatched product"
Orders,Can I change the delivery address after ordering?,"You can change the delivery address only before the order is dispatched. Go to 'My Orders', select the order, and choose 'Edit Address' if the option is available.",
Orders,How do I check my order history?,"Log in to your account and go to 'My Orders' to see a full list of past and current orders with their status.","past orders order list"
Shipping,What are the delivery charges?,"Delivery is free for orders above LKR 5,000. Orders below this amount are charged a flat delivery fee of LKR 250.","shipping cost fee price"
Shipping,How long does delivery take?,"Store pickup orders are ready the same day. Online and mobile app orders typically arrive within 1 to 9 days depending on your location, with most deliveries completed in 3 to 5 days.","shipping time how many days arrive"
Shipping,Do you deliver to all provinces in Sri Lanka?,"Yes, we deliver to all nine provinces including Western, Central, Southern, Northern, Eastern, North Western, North Central, Uva and Sabaragamuwa.","colombo kandy galle jaffna negombo cities areas locations"
Shipping,Can I pick up my order from a store instead of delivery?,"Yes, select 'Store Pickup' at checkout and choose your nearest LankaMart store. Pickup orders are usually ready the same day.",
Shipping,What happens if I am not available to receive my delivery?,"Our courier will attempt delivery up to two times. If both attempts fail, the order is returned to the nearest store and you will be notified to arrange collection or redelivery.","missed delivery not home"
Returns,What is your return policy?,"Most items can be returned within 7 days of delivery if unused and in original packaging. Some categories such as personal care items are not eligible for return.",
Returns,How do I return a product?,"Go to 'My Orders', select the item, and click 'Request Return'. Choose a reason, and our courier will collect the item from your address at no extra charge.","send back item"
Returns,How long does a refund take after a return?,"Refunds are processed within 3 to 5 business days after we receive and inspect the returned item. The amount is credited to your original payment method.","money back reimburse how long refund"
Returns,Can I exchange an item instead of returning it?,"Yes, exchanges are available for size or colour issues on eligible items. Select 'Exchange' instead of 'Return' when submitting your request.",
Returns,Why was my return request rejected?,"Return requests may be rejected if the item shows signs of use, is missing original packaging or tags, or is outside the 7 day return window.","denied declined"
Payments,What payment methods do you accept?,"We accept Credit Card, Debit Card, Bank Transfer, Digital Wallet payments and Cash on Delivery for eligible orders.","how can i pay ways to pay"
Payments,Is it safe to pay online on LankaMart?,"Yes, all online payments are processed through encrypted, PCI-compliant payment gateways and we never store your full card details.","secure safety fraud"
Payments,Can I pay cash on delivery?,"Cash on Delivery is available for most areas for orders under LKR 50,000. The option will show at checkout if it is available for your address.","COD cash payment"
Payments,Why did my payment fail?,"Payment failures are usually caused by incorrect card details, insufficient funds or a bank server timeout. Please try again or use an alternative payment method.","declined error payment not working"
Payments,Can I get a receipt or invoice for my order?,"Yes, a digital invoice is automatically emailed to you after purchase and is also available under 'My Orders' as a downloadable PDF.","bill proof of purchase"
Account,How do I create a LankaMart account?,"Click 'Sign Up' on the website or app, enter your name, email or mobile number, and set a password to create your account.","sign up register new account"
Account,I forgot my password. How do I reset it?,"Click 'Forgot Password' on the login page and follow the instructions sent to your registered email or mobile number to reset it.","login problem cant log in"
Account,How do I update my delivery address or phone number?,"Log in, go to 'Account Settings', and update your address book or contact details at any time.","edit profile change details"
Account,How do I delete my LankaMart account?,"Contact customer support with your registered email requesting account deletion. Your data will be removed in line with our privacy policy.","close account remove"
Promotions,How do I use a promo code?,"Enter your promo code in the 'Apply Promotion' field at checkout before confirming payment. The discount will be reflected in your order total.","coupon voucher discount code"
Promotions,Why is my promo code not working?,"Promo codes may be expired, restricted to certain categories, or require a minimum order value. Check the promotion terms or try another code.","coupon not applying invalid"
Promotions,Do you have a loyalty or rewards program?,"Yes, every purchase earns LankaMart Points which can be redeemed for discounts on future orders. Points are shown in your account dashboard.","rewards points membership"
Product,Do products come with a warranty?,"Electronics and selected appliances come with a manufacturer warranty ranging from 6 months to 2 years, listed on the product page.","guarantee broken repair"
Product,How do I know if a product is genuine?,"All products sold on LankaMart are sourced directly from authorised brands and distributors, and warranty cards are included where applicable.","authentic original fake counterfeit"
Support,How can I contact customer support?,"You can reach us through live chat on the app, email at support@lankamart.lk, or by calling our hotline between 8am and 8pm daily.","help contact number email"
Support,What are your customer service hours?,"Our customer support team is available every day from 8:00 AM to 8:00 PM Sri Lanka time.","opening hours available when"
